nama_pasar,luas_tanah,status_tanah,luas_bangunan,kios_(unit),los_(unit),kantor_unit,mck,bongkar_muat,bak_sampah,tempat_ibadah,hydrant,apar_(unit),pos_satpam,kios,los,arahan
Bantul,23714,Pemda,17719,281,51,ada,6,1,40,1,3,6,1,374,1022,200
Niten,25835,KD& pemda,18036,119,13,ada,2,6,25,1,6,5,2,119,472,89
Klitikan Niten,10800,KD,3000,0,5,ada,1,0,2,1,0,4,0,0,159,4
Janten,1020,Pemda,900,0,1,Tidak,2,1,12,0,0,1,0,0,54,2
Piyungan,20068,Pemda,18400,85,22,ada,2,1,50,2,0,4,1,85,712,21
Imogiri,48320,KD,8327,98,38,ada,0,0,0,0,0,0,0,0,0,0
Angkruksari,20030,KD,3131,46,42,ada,2,1,19,0,0,0,0,46,445,0
Barongan,10280,KD,7500,45,0,ada,1,0,2,2,0,3,0,45,213,8
Mangiran,4355,SG,2433,61,27,ada,2,0,8,1,0,1,0,56,256,60
Jodog,7575,SG,3640,5,29,ada,1,0,7,1,0,1,0,5,122,90
Pijenan,12000,Pemda,1860,54,9,ada,2,4,10,1,0,1,1,54,170,2
Hw.Pandak,1800,SG,128,5,0,ada,1,1,1,0,1,1,0,5,8,60
Gatak,3263,SG,2017,0,19,ada,1,1,6,0,0,1,0,0,104,8
Pundong,10937,KD/SG,4996,0,62,ada,3,1,8,1,0,2,0,0,400,100
Jejeran,7113,Pemda&SG,2143,24,24,ada,3,2,10,1,0,2,0,24,439,43
Pleret,6150,SG,3205,70,59,ada,2,1,10,1,0,2,0,70,496,62
Hw.imogiri,11345,Pemda & KD,0,0,0,Tidak,0,0,0,0,0,0,0,0,0,0
Sorobayan,13525,Pemda&KD,8000,8,28,ada,3,3,0,1,0,1,0,8,275,80
Gumulan,5656,SG,1170,0,8,ada,1,0,5,0,0,1,0,0,269,70
Semampir,2890,SG,700,13,6,ada,1,0,4,1,0,2,0,10,245,8
Sungapan,967,SG,700,6,8,ada,1,0,1,1,0,1,0,6,106,16
Turi,7890,KD,5105,0,40,ada,2,0,7,1,0,0,0,0,439,300
Celep,1350,SG,886,17,6,ada,1,0,10,0,0,1,0,17,125,0
Panasasn,4235,KD,3388,23,0,ada,1,0,8,0,0,1,0,23,175,20
Dlingo,20000,KD,7505,35,2,ada,1,0,9,1,0,1,0,35,175,10
Bendosari,2050,SG,222,0,2,ada,1,0,1,0,0,0,0,0,15,0
Ngipik,5000,pemda,2363,20,18,ada,2,2,8,1,0,0,0,20,158,0
Sangkeh,949,SG,164,0,2,Tidak,0,0,0,0,0,0,0,0,6,0
Grogol,775,SG,630,0,10,Tidak,1,0,4,0,0,0,0,0,20,7
Koripan,423,SG,470,0,10,Tidak,2,0,0,0,0,0,0,0,53,0
Jragan,426,SG,500,0,11,ada,1,0,0,0,0,0,0,0,41,0
Unggas btl,0,KD,0,0,0,Tidak,0,0,0,0,0,0,0,0,0,0
PSG,46477,KD,3,0,0,Tidak,0,0,0,0,0,0,0,0,0,0
